idProfesor,NIF,nombre,apellido1,apellido2,email,direccion,categoria
PR026,86751787V,Maria,Lucena,Nebra,maria.lucena.nebra@ucm.com,"Calle Arroyo de los Berros , 31",Catedráticos de Escuela Universitaria
PR027,35634129C,Manuel,Falcon,Zendoia,manuel.falcon.zendoia@ucm.com,"Calle de Aguileñas , 65",Titulares de Escuela Universitaria
PR028,67157773L,Francisco,Cid,Lubiano,francisco.cid.lubiano@ucm.com,"Travesia Antón , 55",Asociado Interino
PR029,34163047Q,Carmen,Pino,Holgueras,carmen.pino.holgueras@ucm.com,"Calle de Alcalá de Guadaira , 170",Titulares de Escuela Universitaria
PR030,78969666B,Juan,Perera,Chao,juan.perera.chao@ucm.com,"Calle del Arroyo , 34",Asociados
PR031,15480959Q,David,Galindo,Chirila,david.galindo.chirila@ucm.com,"Calle de Asunción Cuestablanca , 40",Asociado Interino
PR032,76367475V,Josefa,Villena,Hombrados,josefa.villena.hombrados@ucm.com,"Calle de Alonso de Mendoza , 161",PDI predoctoral
PR033,64389449W,Jose Antonio,Bonilla,Abello,jose.antonio.bonilla.abello@ucm.com,"Calle de Albalate del Arzobispo , 51",Ayudantes Doctores
PR034,47783567D,Jose Luis,Yague,Liern,jose.luis.yague.liern@ucm.com,"Calle Atocha , 133",Ayudantes Doctores
PR035,13616538V,Javier,Exposito,Orejuela,javier.exposito.orejuela@ucm.com,"Calle los Acebos , 138",Titulares Universidad
PR036,78722469N,Isabel,Chaves,Cantisano,isabel.chaves.cantisano@ucm.com,"Calle de Alcudia , 14",Catedráticos de Escuela Universitaria
PR037,45405804R,Jesus,Cerezo,Esquer,jesus.cerezo.esquer@ucm.com,"Calle Armonía , 61",Contratados Doctores
PR038,25187565W,Francisco Javier,Aguilera,Pavlova,francisco.javier.aguilera.pavlova@ucm.com,"Calle Acacia , 53",Catedráticos de Universidad
PR039,19655057F,Ana Maria,Guillen,Bembibre,ana.maria.guillen.bembibre@ucm.com,"Pasaje Almendro del Paular , 167",Catedráticos de Universidad
PR040,29987297T,Carlos,De Las Heras,Orrego,carlos.de.las.heras.orrego@ucm.com,"Calle del Alcalde Ramón del Yerro Ordóñez , 135",Eméritos
PR041,22835810F,Daniel,De La Rosa,Gaudes,daniel.de.la.rosa.gaudes@ucm.com,"Calle del Alcalde Pablo Durán y Pérez de Castro , 2",Ayudantes Doctores
PR042,63215069W,Maria Dolores,Casanova,Ocasar,maria.dolores.casanova.ocasar@ucm.com,"Calle de las Arenas , 161",Contratados Doctores Interinos
PR043,83480230A,Maria Pilar,Bejarano,De La Piedad,maria.pilar.bejarano.de.la.piedad@ucm.com,"Calle Aldea del Fresno , 105",Contratados Doctores Interinos
PR044,19206079I,Miguel,Silva,Rose,miguel.silva.rose@ucm.com,"Calle de Asunción , 173",Asociado Interino
PR045,66989687K,Maria Teresa,Valderrama,Ruperez,maria.teresa.valderrama.ruperez@ucm.com,"Plaza de Antonio Chenel Antoñete , 152",Titulares Universidad
PR046,47970524A,Ana,Padron,Balada,ana.padron.balada@ucm.com,"Calle de Argentona , 179",Titulares Universidad
PR047,76965754O,Rafael,Figueroa,Casal,rafael.figueroa.casal@ucm.com,"Calle de la Aeronave , 37",PDI predoctoral
PR048,48034341Q,Jose Manuel,Nevado,Veras,jose.manuel.nevado.veras@ucm.com,"Calle Arlanza , 170",Catedráticos de Universidad
